113, 'Aurora', 'Illinois', 199963, '{"type": "Point", "coordinates": [-88.2901, 41.7635]}'
114, 'Yonkers', 'New York', 199766, '{"type": "Point", "coordinates": [-73.8674, 40.9459]}'
115, 'Akron', 'Ohio', 198100, '{"type": "Point", "coordinates": [-81.5214, 41.0805]}'
116, 'Huntington Beach', 'California', 197575, '{"type": "Point", "coordinates": [-118.0093, 33.6906]}'
117, 'Little Rock', 'Arkansas', 197357, '{"type": "Point", "coordinates": [-92.3586, 34.7254]}'
118, 'Augusta', 'Georgia', 197350, '{"type": "Point", "coordinates": [-82.0734, 33.3655]}'
119, 'Amarillo', 'Texas', 196429, '{"type": "Point", "coordinates": [-101.8287, 35.1978]}'
120, 'Glendale', 'California', 196021, '{"type": "Point", "coordinates": [-118.2458, 34.1814]}'
121, 'Mobile', 'Alabama', 194899, '{"type": "Point", "coordinates": [-88.1002, 30.6684]}'
122, 'Grand Rapids', 'Michigan', 192294, '{"type": "Point", "coordinates": [-85.6556, 42.9612]}'
123, 'Salt Lake City', 'Utah', 191180, '{"type": "Point", "coordinates": [-111.9314, 40.7785]}'
124, 'Tallahassee', 'Florida', 186411, '{"type": "Point", "coordinates": [-84.2534, 30.4551]}'
125, 'Huntsville', 'Alabama', 186254, '{"type": "Point", "coordinates": [-86.5390, 34.7843]}'
126, 'Grand Prairie', 'Texas', 183372, '{"type": "Point", "coordinates": [-97.0210, 32.6842]}'
127, 'Knoxville', 'Tennessee', 183270, '{"type": "Point", "coordinates": [-83.9465, 35.9709]}'
128, 'Worcester', 'Massachusetts', 182544, '{"type": "Point", "coordinates": [-71.8078, 42.2695]}'
129, 'Newport News', 'Virginia', 182020, '{"type": "Point", "coordinates": [-76.5217, 37.0760]}'
130, 'Brownsville', 'Texas', 181860, '{"type": "Point", "coordinates": [-97.4538, 26.0183]}'
131, 'Overland Park', 'Kansas', 181260, '{"type": "Point", "coordinates": [-94.6906, 38.8890]}'
132, 'Santa Clarita', 'California', 179590, '{"type": "Point", "coordinates": [-118.5047, 34.4049]}'
133, 'Providence', 'Rhode Island', 177994, '{"type": "Point", "coordinates": [-71.4188, 41.8231]}'
134, 'Garden Grove', 'California', 175140, '{"type": "Point", "coordinates": [-117.9605, 33.7788]}'
135, 'Chattanooga', 'Tennessee', 173366, '{"type": "Point", "coordinates": [-85.2471, 35.0665]}'
136, 'Oceanside', 'California', 172794, '{"type": "Point", "coordinates": [-117.3062, 33.2246]}'
137, 'Jackson', 'Mississippi', 172638, '{"type": "Point", "coordinates": [-90.2128, 32.3158]}'
138, 'Fort Lauderdale', 'Florida', 172389, '{"type": "Point", "coordinates": [-80.1439, 26.1413]}'
139, 'Santa Rosa', 'California', 171990, '{"type": "Point", "coordinates": [-122.7061, 38.4468]}'
140, 'Rancho Cucamonga', 'California', 171386, '{"type": "Point", "coordinates": [-117.5642, 34.1233]}'
141, 'Port St. Lucie', 'Florida', 171016, '{"type": "Point", "coordinates": [-80.3838, 27.2810]}'
142, 'Tempe', 'Arizona', 168228, '{"type": "Point", "coordinates": [-111.9318, 33.3884]}'
143, 'Ontario', 'California', 167500, '{"type": "Point", "coordinates": [-117.6088, 34.0395]}'
144, 'Vancouver', 'Washington', 167405, '{"type": "Point", "coordinates": [-122.5965, 45.6372]}'
145, 'Cape Coral', 'Florida', 165831, '{"type": "Point", "coordinates": [-81.9973, 26.6431]}'
146, 'Sioux Falls', 'South Dakota', 164676, '{"type": "Point", "coordinates": [-96.7320, 43.5383]}'
147, 'Springfield', 'Missouri', 164122, '{"type": "Point", "coordinates": [-93.2913, 37.1942]}'
148, 'Peoria', 'Arizona', 162592, '{"type": "Point", "coordinates": [-112.3111, 33.7877]}'
149, 'Pembroke Pines', 'Florida', 162329, '{"type": "Point", "coordinates": [-80.3404, 26.0212]}'
150, 'Elk Grove', 'California', 161007, '{"type": "Point", "coordinates": [-121.3849, 38.4144]}'
151, 'Salem', 'Oregon', 160614, '{"type": "Point", "coordinates": [-123.0231, 44.9237]}'
152, 'Lancaster', 'California', 159523, '{"type": "Point", "coordinates": [-118.1753, 34.6936]}'
153, 'Corona', 'California', 159503, '{"type": "Point", "coordinates": [-117.5639, 33.8624]}'
154, 'Eugene', 'Oregon', 159190, '{"type": "Point", "coordinates": [-123.1162, 44.0567]}'
155, 'Palmdale', 'California', 157161, '{"type": "Point", "coordinates": [-118.1090, 34.5913]}'
156, 'Salinas', 'California', 155662, '{"type": "Point", "coordinates": [-121.6337, 36.6902]}'
157, 'Springfield', 'Massachusetts', 153703, '{"type": "Point", "coordinates": [-72.5400, 42.1155]}'
158, 'Pasadena', 'Texas', 152735, '{"type": "Point", "coordinates": [-95.1505, 29.6583]}'
159, 'Fort Collins', 'Colorado', 152061, '{"type": "Point", "coordinates": [-105.0648, 40.5482]}'
160, 'Hayward', 'California', 151574, '{"type": "Point", "coordinates": [-122.1063, 37.6281]}'
161, 'Pomona', 'California', 151348, '{"type": "Point", "coordinates": [-117.7613, 34.0586]}'
162, 'Cary', 'North Carolina', 151088, '{"type": "Point", "coordinates": [-78.8141, 35.7821]}'
163, 'Rockford', 'Illinois', 150251, '{"type": "Point", "coordinates": [-89.0628, 42.2634]}'
164, 'Alexandria', 'Virginia', 148892, '{"type": "Point", "coordinates": [-77.0820, 38.8183]}'
165, 'Escondido', 'California', 148738, '{"type": "Point", "coordinates": [-117.0732, 33.1336]}'
166, 'McKinney', 'Texas', 148559, '{"type": "Point", "coordinates": [-96.6680, 33.2012]}'
167, 'Kansas City', 'Kansas', 148483, '{"type": "Point", "coordinates": [-94.7418, 39.1225]}'
168, 'Joliet', 'Illinois', 147806, '{"type": "Point", "coordinates": [-88.1584, 41.5181]}'
169, 'Sunnyvale', 'California', 147559, '{"type": "Point", "coordinates": [-122.0263, 37.3858]}'
170, 'Torrance', 'California', 147478, '{"type": "Point", "coordinates": [-118.3414, 33.8350]}'
171, 'Bridgeport', 'Connecticut', 147216, '{"type": "Point", "coordinates": [-73.1957, 41.1874]}'
172, 'Lakewood', 'Colorado', 147214, '{"type": "Point", "coordinates": [-105.1176, 39.6989]}'
173, 'Hollywood', 'Florida', 146526, '{"type": "Point", "coordinates": [-80.1646, 26.0311]}'
174, 'Paterson', 'New Jersey', 145948, '{"type": "Point", "coordinates": [-74.1628, 40.9147]}'
175, 'Naperville', 'Illinois', 144864, '{"type": "Point", "coordinates": [-88.1620, 41.7492]}'
176, 'Syracuse', 'New York', 144669, '{"type": "Point", "coordinates": [-76.1436, 43.0410]}'
177, 'Mesquite', 'Texas', 143484, '{"type": "Point", "coordinates": [-96.5924, 32.7639]}'
178, 'Dayton', 'Ohio', 143355, '{"type": "Point", "coordinates": [-84.1996, 39.7774]}'
179, 'Savannah', 'Georgia', 142772, '{"type": "Point", "coordinates": [-81.1536, 32.0025]}'
180, 'Clarksville', 'Tennessee', 142357, '{"type": "Point", "coordinates": [-87.3452, 36.5664]}'
181, 'Orange', 'California', 139969, '{"type": "Point", "coordinates": [-117.8249, 33.8048]}'
182, 'Pasadena', 'California', 139731, '{"type": "Point", "coordinates": [-118.1396, 34.1606]}'
183, 'Fullerton', 'California', 138981, '{"type": "Point", "coordinates": [-117.9280, 33.8857]}'
184, 'Killeen', 'Texas', 137147, '{"type": "Point", "coordinates": [-97.7320, 31.0777]}'
185, 'Frisco', 'Texas', 136791, '{"type": "Point", "coordinates": [-96.8193, 33.1510]}'
186, 'Hampton', 'Virginia', 136699, '{"type": "Point", "coordinates": [-76.2971, 37.0480]}'
187, 'McAllen', 'Texas', 136639, '{"type": "Point", "coordinates": [-98.2461, 26.2185]}'
188, 'Warren', 'Michigan', 134873, '{"type": "Point", "coordinates": [-83.0250, 42.4929]}'
189, 'Bellevue', 'Washington', 133992, '{"type": "Point", "coordinates": [-122.1565, 47.5978]}'
190, 'West Valley City', 'Utah', 133579, '{"type": "Point", "coordinates": [-112.0118, 40.6885]}'
191, 'Columbia', 'South Carolina', 133358, '{"type": "Point", "coordinates": [-80.8966, 34.0298]}'
192, 'Olathe', 'Kansas', 131885, '{"type": "Point", "coordinates": [-94.8188, 38.8843]}'
193, 'Sterling Heights', 'Michigan', 131224, '{"type": "Point", "coordinates": [-83.0303, 42.5812]}'
194, 'New Haven', 'Connecticut', 130660, '{"type": "Point", "coordinates": [-72.9250, 41.3108]}'
195, 'Miramar', 'Florida', 130288, '{"type": "Point", "coordinates": [-80.3358, 25.9770]}'
196, 'Waco', 'Texas', 129030, '{"type": "Point", "coordinates": [-97.1860, 31.5601]}'
197, 'Thousand Oaks', 'California', 128731, '{"type": "Point", "coordinates": [-118.8742, 34.1933]}'
198, 'Cedar Rapids', 'Iowa', 128429, '{"type": "Point", "coordinates": [-91.6778, 41.9670]}'
199, 'Charleston', 'South Carolina', 127999, '{"type": "Point", "coordinates": [-79.9589, 32.8179]}'
200, 'Visalia', 'California', 127763, '{"type": "Point", "coordinates": [-119.3234, 36.3272]}'
201, 'Topeka', 'Kansas', 127679, '{"type": "Point", "coordinates": [-95.6948, 39.0362]}'
202, 'Elizabeth', 'New Jersey', 127558, '{"type": "Point", "coordinates": [-74.1935, 40.6663]}'
203, 'Gainesville', 'Florida', 127488, '{"type": "Point", "coordinates": [-82.3459, 29.6788]}'
204, 'Thornton', 'Colorado', 127359, '{"type": "Point", "coordinates": [-104.9454, 39.9180]}'
205, 'Roseville', 'California', 127035, '{"type": "Point", "coordinates": [-121.3032, 38.7657]}'
206, 'Carrollton', 'Texas', 126700, '{"type": "Point", "coordinates": [-96.8998, 32.9884]}'
207, 'Coral Springs', 'Florida', 126604, '{"type": "Point", "coordinates": [-80.2593, 26.2708]}'
208, 'Stamford', 'Connecticut', 126456, '{"type": "Point", "coordinates": [-73.5460, 41.0799]}'
209, 'Simi Valley', 'California', 126181, '{"type": "Point", "coordinates": [-118.7485, 34.2669]}'
210, 'Concord', 'California', 125880, '{"type": "Point", "coordinates": [-122.0016, 37.9722]}'
211, 'Hartford', 'Connecticut', 125017, '{"type": "Point", "coordinates": [-72.6833, 41.7660]}'
212, 'Kent', 'Washington', 124435, '{"type": "Point", "coordinates": [-122.2169, 47.3853]}'
213, 'Lafayette', 'Louisiana', 124276, '{"type": "Point", "coordinates": [-92.0314, 30.2116]}'
